42.156.139.71 - - [09/Mar/2017:00:01:11 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=5463CCAB7B8A56CD3C769FB0C758653B HTTP/1.1" 200 26368
42.156.137.71 - - [09/Mar/2017:00:01:12 +0800] "GET /sxzn/foreground/viewMetadata.action?id=230 HTTP/1.1" 200 9371
42.156.138.71 - - [09/Mar/2017:00:01:14 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=73137C88E1DE3938B7D768BEF8F3F0D5 HTTP/1.1" 200 26368
42.120.160.71 - - [09/Mar/2017:00:01:14 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=437CEA7E9F15F75B337727D498486DB9 HTTP/1.1" 200 26368
42.120.161.71 - - [09/Mar/2017:00:01:15 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=21667B6C41088B7F4ED252B7F9AECF47 HTTP/1.1" 200 26368
113.95.12.85 - - [09/Mar/2017:00:01:30 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [09/Mar/2017:00:01:31 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.12.161 - - [09/Mar/2017:00:01:34 +0800] "GET / HTTP/1.1" 302 -
61.149.12.161 - - [09/Mar/2017:00:01:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [09/Mar/2017:00:03:33 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [09/Mar/2017:00:03:33 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [09/Mar/2017:00:04:15 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [09/Mar/2017:00:04:15 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.139.71 - - [09/Mar/2017:00:05:32 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=2D09B9779C74825A7EBC28547BD9BA14 HTTP/1.1" 200 26368
42.156.137.71 - - [09/Mar/2017:00:05:32 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=45C6D69AD4039F3430E4644C084D127F HTTP/1.1" 200 26368
42.156.138.71 - - [09/Mar/2017:00:05:33 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=4B0AFAD0CC6EB5364FC7C9B47946BDB9 HTTP/1.1" 200 26368
42.120.160.71 - - [09/Mar/2017:00:05:34 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=EF80FD9CA4F98919440D11AC04258D64 HTTP/1.1" 200 26368
113.95.12.85 - - [09/Mar/2017:00:06:30 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [09/Mar/2017:00:06:31 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [09/Mar/2017:00:08:33 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [09/Mar/2017:00:08:34 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [09/Mar/2017:00:09:15 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [09/Mar/2017:00:09:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
104.197.241.64 - - [09/Mar/2017:00:09:23 +0800] "GET /robots.txt HTTP/1.1" 404 985
42.156.139.71 - - [09/Mar/2017:00:10:32 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=4B7BD0DF99D81D45AA319921239BE544 HTTP/1.1" 200 26368
42.156.137.71 - - [09/Mar/2017:00:10:33 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=97480CC0FD454D0B80C42E6FFA7DC778 HTTP/1.1" 200 26368
